text,title,note,category,amount,day_of_month,day_of_week,is_weekend
Bill for Co-living monthly rent urgent Routine rent item,Bill for Co-living monthly rent urgent,Routine rent item,rent,28382.4,4,5,1
Winter jacket shopping for home Personal spending on shopping,Winter jacket shopping for home,Personal spending on shopping,shopping,16508.5,21,0,0
Quick Courier speed post delivery with card Monthly other budget expense,Quick Courier speed post delivery with card,Monthly other budget expense,other,924.68,10,3,0
Txn: House rent payment via UPI via GPay Routine rent item,Txn: House rent payment via UPI via GPay,Routine rent item,rent,20545.83,22,5,1
Spent on Language learning app subscription today Paid via UPI for education,Spent on Language learning app subscription today,Paid via UPI for education,education,16545.24,20,3,0
Bill for Doctor consultation fee at store Personal spending on health,Bill for Doctor consultation fee at store,Personal spending on health,health,3658.39,28,2,0
Bill for Office space rent share for home Routine rent item,Bill for Office space rent share for home,Routine rent item,rent,7422.0,7,0,0
Txn: Mobile postpaid monthly bill Routine other item,Txn: Mobile postpaid monthly bill,Routine other item,other,398.41,8,1,0
Txn: Myntra clothes shopping at store Personal spending on shopping,Txn: Myntra clothes shopping at store,Personal spending on shopping,shopping,14709.73,11,6,1
Purchase at Uber cab ride to office via GPay,Purchase at Uber cab ride to office via GPay,,transport,4444.5,9,6,1
Petrol pump fuel refill via GPay Personal spending on transport,Petrol pump fuel refill via GPay,Personal spending on transport,transport,116.13,19,2,0
Purchase at Cafe Coffee Day latte Paid via UPI for food,Purchase at Cafe Coffee Day latte,Paid via UPI for food,food,548.44,17,0,0
Online Co-living monthly rent for home Monthly rent budget expense,Online Co-living monthly rent for home,Monthly rent budget expense,rent,25529.52,15,4,0
Kitchen cookware set urgent Monthly shopping budget expense,Kitchen cookware set urgent,Monthly shopping budget expense,shopping,8461.55,2,3,0
Paid for GRE / TOEFL exam registration with discount Paid via UPI for education,Paid for GRE / TOEFL exam registration with discount,Paid via UPI for education,education,17953.54,3,0,0
Paid for Amazon Prime annual membership via GPay,Paid for Amazon Prime annual membership via GPay,,entertainment,969.32,18,5,1
Purchase at Club weekend party entry with discount Paid via UPI for entertainment,Purchase at Club weekend party entry with discount,Paid via UPI for entertainment,entertainment,1615.05,4,6,1
Txn: Brokerage fee for apartment today Personal spending on rent,Txn: Brokerage fee for apartment today,Personal spending on rent,rent,23062.2,14,2,0
Quick House cleaning service Urban Company with card Routine other item,Quick House cleaning service Urban Company with card,Routine other item,other,1944.04,22,2,0
Online Amazon Prime annual membership with card Monthly entertainment budget expense,Online Amazon Prime annual membership with card,Monthly entertainment budget expense,entertainment,454.52,3,3,0
Bill for Storage locker monthly rental via GPay,Bill for Storage locker monthly rental via GPay,,rent,27254.83,18,4,0
Quick PVR cinemas IMAX tickets for home Paid via UPI for entertainment,Quick PVR cinemas IMAX tickets for home,Paid via UPI for entertainment,entertainment,2645.97,28,5,1
Purchase at Nature's Basket gourmet items for home,Purchase at Nature's Basket gourmet items for home,,food,470.17,7,1,0
Paid for Bank transaction charge for home Routine other item,Paid for Bank transaction charge for home,Routine other item,other,5087.7,4,6,1
Quick Eye checkup and new glasses Routine health item,Quick Eye checkup and new glasses,Routine health item,health,4950.16,1,1,0
Bill for Physiotherapy session for home Personal spending on health,Bill for Physiotherapy session for home,Personal spending on health,health,247.63,19,5,1
Spent on Coursera specialization certification,Spent on Coursera specialization certification,,education,2747.15,7,3,0
Bill for Coding bootcamp installment via GPay Routine education item,Bill for Coding bootcamp installment via GPay,Routine education item,education,9565.67,25,4,0
Water tanker for society via GPay,Water tanker for society via GPay,,rent,11296.4,2,5,1
Online Society maintenance bill today Paid via UPI for rent,Online Society maintenance bill today,Paid via UPI for rent,rent,24426.47,14,2,0
Paid for Backpack for travel for home Routine shopping item,Paid for Backpack for travel for home,Routine shopping item,shopping,7966.48,22,5,1
Purchase at Tax filing CA consultancy fee,Purchase at Tax filing CA consultancy fee,,other,1401.06,2,0,0
Txn: Ajio discount clothes via GPay Routine shopping item,Txn: Ajio discount clothes via GPay,Routine shopping item,shopping,13849.23,11,0,0
Quick Coffee beans purchase via GPay,Quick Coffee beans purchase via GPay,,food,556.65,23,1,0
Quick BookMyShow movie tickets Paid via UPI for entertainment,Quick BookMyShow movie tickets,Paid via UPI for entertainment,entertainment,1420.85,3,6,1
Quick Board game cafe bill today Paid via UPI for entertainment,Quick Board game cafe bill today,Paid via UPI for entertainment,entertainment,1009.93,1,2,0
Bill for EV charging station fee with card Monthly transport budget expense,Bill for EV charging station fee with card,Monthly transport budget expense,transport,1993.37,8,3,0
Paid for Technical reference book today Routine education item,Paid for Technical reference book today,Routine education item,education,21827.72,8,2,0
Paid for Metro card monthly recharge at store Routine transport item,Paid for Metro card monthly recharge at store,Routine transport item,transport,4081.36,12,5,1
Paid for Train ticket booking IRCTC via GPay Personal spending on transport,Paid for Train ticket booking IRCTC via GPay,Personal spending on transport,transport,1189.06,20,1,0
Online PG accommodation fee with discount,Online PG accommodation fee with discount,,rent,35177.83,15,5,1
Spent on Amusement park entry ticket with discount Paid via UPI for entertainment,Spent on Amusement park entry ticket with discount,Paid via UPI for entertainment,entertainment,390.27,21,2,0
Bill for Doctor consultation fee with card Paid via UPI for health,Bill for Doctor consultation fee with card,Paid via UPI for health,health,2621.18,2,0,0
Paid for Bowling & gaming arcade with card,Paid for Bowling & gaming arcade with card,,entertainment,1921.64,13,3,0
Txn: Juice center fresh juice for home,Txn: Juice center fresh juice for home,,food,2164.92,5,0,0
Bill for Water utility bill with card Personal spending on other,Bill for Water utility bill with card,Personal spending on other,other,3076.84,2,1,0
Spent on ATM cash withdrawal unaccounted for home Routine other item,Spent on ATM cash withdrawal unaccounted for home,Routine other item,other,2299.83,13,3,0
Bill for Spotify premium music renewal with card,Bill for Spotify premium music renewal with card,,entertainment,1122.46,22,3,0
Spent on Ayurvedic medicines purchase for home Personal spending on health,Spent on Ayurvedic medicines purchase for home,Personal spending on health,health,835.72,12,2,0
Paid for College semester tuition fee urgent Routine education item,Paid for College semester tuition fee urgent,Routine education item,education,14193.15,27,1,0
Quick Office space rent share for home Routine rent item,Quick Office space rent share for home,Routine rent item,rent,5729.22,6,1,0
Txn: Audible audiobooks at store Personal spending on entertainment,Txn: Audible audiobooks at store,Personal spending on entertainment,entertainment,2999.93,3,2,0
Security deposit installment for home,Security deposit installment for home,,rent,40055.71,5,4,0
Spent on College semester tuition fee via GPay,Spent on College semester tuition fee via GPay,,education,20867.79,26,1,0
Quick Broadband WiFi internet bill for home Personal spending on other,Quick Broadband WiFi internet bill for home,Personal spending on other,other,4090.54,15,4,0
Txn: Protein powder supplement at store Paid via UPI for health,Txn: Protein powder supplement at store,Paid via UPI for health,health,2613.85,27,1,0
Online Standup comedy show ticket urgent,Online Standup comedy show ticket urgent,,entertainment,2378.53,17,3,0
Spent on Bus pass monthly renewal urgent Paid via UPI for transport,Spent on Bus pass monthly renewal urgent,Paid via UPI for transport,transport,282.2,28,2,0
Paid for Storage locker monthly rental urgent Personal spending on rent,Paid for Storage locker monthly rental urgent,Personal spending on rent,rent,8355.01,9,3,0
Paid for Parking fee at mall at store Routine transport item,Paid for Parking fee at mall at store,Routine transport item,transport,3684.33,1,3,0
Bill for Street food evening snacks at store Monthly food budget expense,Bill for Street food evening snacks at store,Monthly food budget expense,food,1425.24,12,1,0
Paid for Lunch thali at office canteen for home Personal spending on food,Paid for Lunch thali at office canteen for home,Personal spending on food,food,2794.87,2,2,0
Online LPG gas cylinder refill with discount Monthly other budget expense,Online LPG gas cylinder refill with discount,Monthly other budget expense,other,3730.55,1,2,0
Quick H&M summer collection with card Personal spending on shopping,Quick H&M summer collection with card,Personal spending on shopping,shopping,14060.64,10,0,0
Quick Haldirams snacks & sweets with discount Paid via UPI for food,Quick Haldirams snacks & sweets with discount,Paid via UPI for food,food,332.29,20,4,0
Spent on Haldirams snacks & sweets urgent,Spent on Haldirams snacks & sweets urgent,,food,1570.83,12,1,0
Paid for College semester tuition fee for home,Paid for College semester tuition fee for home,,education,2157.21,18,4,0
Online Fresh meat and fish store Routine food item,Online Fresh meat and fish store,Routine food item,food,2268.57,9,5,1
Paid for Ice cream at Baskin Robbins for home Monthly food budget expense,Paid for Ice cream at Baskin Robbins for home,Monthly food budget expense,food,935.01,25,4,0
Amazon Prime annual membership for home Personal spending on entertainment,Amazon Prime annual membership for home,Personal spending on entertainment,entertainment,1728.38,27,6,1
Spent on Gardening plants and soil via GPay Paid via UPI for other,Spent on Gardening plants and soil via GPay,Paid via UPI for other,other,472.29,2,2,0
Txn: Flipkart electronics sale Routine shopping item,Txn: Flipkart electronics sale,Routine shopping item,shopping,5954.49,17,3,0
Home repair and plumbing at store Monthly other budget expense,Home repair and plumbing at store,Monthly other budget expense,other,1788.05,28,5,1
Paid for Concert musical event pass for home Paid via UPI for entertainment,Paid for Concert musical event pass for home,Paid via UPI for entertainment,entertainment,1422.9,24,3,0
Spent on Skillshare creative subscription with discount Routine education item,Spent on Skillshare creative subscription with discount,Routine education item,education,17455.37,26,4,0
Quick Dental clinic root canal visit with card Personal spending on health,Quick Dental clinic root canal visit with card,Personal spending on health,health,3558.74,18,2,0
Paid for PVR cinemas IMAX tickets for home Routine entertainment item,Paid for PVR cinemas IMAX tickets for home,Routine entertainment item,entertainment,2050.23,15,4,0
Online College semester tuition fee for home Routine education item,Online College semester tuition fee for home,Routine education item,education,11454.12,20,3,0
Paid for Doctor consultation fee today Personal spending on health,Paid for Doctor consultation fee today,Personal spending on health,health,3033.83,1,1,0
Spent on Broadband WiFi internet bill with card Routine other item,Spent on Broadband WiFi internet bill with card,Routine other item,other,1492.37,12,3,0
Online Subway sub & drink for home Monthly food budget expense,Online Subway sub & drink for home,Monthly food budget expense,food,1377.41,19,1,0
Bill for Club weekend party entry urgent Monthly entertainment budget expense,Bill for Club weekend party entry urgent,Monthly entertainment budget expense,entertainment,898.16,1,5,1
Quick Cycle repair & parts with card Routine transport item,Quick Cycle repair & parts with card,Routine transport item,transport,1214.91,23,3,0
Purchase at Kitchen cookware set with discount Personal spending on shopping,Purchase at Kitchen cookware set with discount,Personal spending on shopping,shopping,3923.14,28,0,0
Online Charity donation to NGO with card Routine other item,Online Charity donation to NGO with card,Routine other item,other,4882.03,22,2,0
Purchase at Security deposit installment urgent Personal spending on rent,Purchase at Security deposit installment urgent,Personal spending on rent,rent,39054.48,26,2,0
Txn: Zara shirt and jeans via GPay Paid via UPI for shopping,Txn: Zara shirt and jeans via GPay,Paid via UPI for shopping,shopping,4566.56,1,2,0
Spent on Standup comedy show ticket with card Paid via UPI for entertainment,Spent on Standup comedy show ticket with card,Paid via UPI for entertainment,entertainment,383.16,23,5,1
